,0,1
Id,674,452
MSSubClass,20,20
MSZoning,RL,RL
LotFrontage,110.0,62.0
LotArea,14442,70761
Street,Pave,Pave
Alley,,
LotShape,Reg,IR1
LandContour,Lvl,Low
Utilities,AllPub,AllPub
LotConfig,Inside,Inside
LandSlope,Gtl,Mod
Neighborhood,Crawfor,ClearCr
Condition1,Norm,Norm
Condition2,Norm,Norm
BldgType,1Fam,1Fam
HouseStyle,1Story,1Story
OverallQual,6,7
OverallCond,7,5
YearBuilt,1957,1975
YearRemodAdd,2004,1975
RoofStyle,Hip,Gable
RoofMatl,CompShg,WdShngl
Exterior1st,CemntBd,Plywood
Exterior2nd,CmentBd,Plywood
MasVnrType,BrkFace,None
MasVnrArea,106.0,0.0
ExterQual,TA,TA
ExterCond,TA,TA
Foundation,PConc,CBlock
BsmtQual,TA,Gd
BsmtCond,TA,TA
BsmtExposure,No,Gd
BsmtFinType1,GLQ,ALQ
BsmtFinSF1,1186,655
BsmtFinType2,Unf,Unf
BsmtFinSF2,0,0
BsmtUnfSF,291,878
TotalBsmtSF,1477,1533
Heating,GasA,GasA
HeatingQC,Ex,TA
CentralAir,Y,Y
Electrical,SBrkr,SBrkr
1stFlrSF,1839,1533
2ndFlrSF,0,0
LowQualFinSF,0,0
GrLivArea,1839,1533
BsmtFullBath,1,1
BsmtHalfBath,0,0
FullBath,2,2
HalfBath,0,0
BedroomAbvGr,3,2
KitchenAbvGr,1,1
KitchenQual,Gd,Gd
TotRmsAbvGrd,7,5
Functional,Typ,Typ
Fireplaces,2,2
FireplaceQu,TA,TA
GarageType,Attchd,Attchd
GarageYrBlt,1957.0,1975.0
GarageFinish,Fin,Unf
GarageCars,2,2
GarageArea,416,576
GarageQual,TA,TA
GarageCond,TA,TA
PavedDrive,Y,Y
WoodDeckSF,0,200
OpenPorchSF,87,54
EnclosedPorch,0,0
3SsnPorch,0,0
ScreenPorch,200,0
PoolArea,0,0
PoolQC,,
Fence,,
MiscFeature,,
MiscVal,0,0
MoSold,6,12
YrSold,2007,2006
SaleType,WD,WD
SaleCondition,Normal,Normal
SalePrice,257500,280000
